UTDANNINGTYPEAHEAD,UTDANNING
Byg,Bygg+og+anlegg+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Spa,Spansk+lavere+niv%C3%A5
Ing,Ingeni%C3%B8rutdanning+bygg+to%C3%A5rig
Bac,Bachelor+kulturfag+tre%C3%A5rig
Vid,Videreutdanning+pedagogisk+veiledning
Bar,Barnevernspedagogutdanning+tre%C3%A5rig
Vid,Videreutdanning+pedagogikk
Vid,Videreutdanning+for+helse-+og+sosialsektoren
Ped,Pedagogisk+veiledning+videreutdanning+for+l%C3%A6rere
Fys,Fysioterapeututdanning+tre%C3%A5rig
Mas,Master+helsefag+to%C3%A5rig
Agr,Agronomkurs+1+5-+%C3%A5rig+(ev.+to+vintre)
Akt,Aktivitetslederutdanning+videreg%C3%A5ende+grunnutdanning
Bac,Bachelor+samfunnsvitenskap+tre%C3%A5rig
Hel,Helse-+sosial-+og+idrettsfag+l%C3%A6rerutdanning+uspesifisert+lavere+niv%C3%A5
Jou,Journalistikk+lavere+niv%C3%A5
Kul,Kulturvern%2Fkulturformidling+lavere+niv%C3%A5
Spr,Spr%C3%A5k+samfunnsfag+og+%C3%B8konomi+Vg2
Bac,Bachelor+%C3%B8konomi+og+administrasjon+tre%C3%A5rig
Mig,Migrasjonspedagogikk+lavere+niv%C3%A5
F%C3%B8r,F%C3%B8rskole-%2Fbarnehagel%C3%A6rerutdanning+annen+uspesifisert+lavere+niv%C3%A5
Ser,Servit%C3%B8rfag+VK+I
Hot,Hotell-+og+restaurantfag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Med,Medier+og+kommunikasjon+Vg3+(studieforberedende+gammel+ordning)
Bac,Bachelor+reiseliv+tre%C3%A5rig
Fot,Fotofag+uspesifiserte+lavere+niv%C3%A5
For,Formgivingsfag+Vg3
Ark,Arkeologi+lavere+niv%C3%A5
Bib,Bibelskoleutdanning+videreg%C3%A5ende+grunnutdanning
Pol,Politih%C3%B8gskole+tre%C3%A5rig+grunnutdanning
Spr,Spr%C3%A5k-+og+saksbehandlerlinje+VK+II
Ter,Terapeutiske+fag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Siv,Sivil%C3%B8konom+fire%C3%A5rig
Sos,Sosialfag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Ter,Terapeutiske+fag+andre+uspesifiserte+lavere+niv%C3%A5
Gru,Grunnmedisin+lavere+niv%C3%A5
Bar,Barne-+og+ungdomsarbeiderfag+Vg2
Kun,Kunsth%C3%A5ndverk+metallarbeid+videreg%C3%A5ende+avsluttende+utdanning
Nor,Norsk+som+fremmedspr%C3%A5k%2Fandrespr%C3%A5k+lavere+niv%C3%A5
Bac,Bachelor+litteraturstudier+tre%C3%A5rig
Sam,Samfunns%C3%B8konomi+uspesifisert+lavere+niv%C3%A5
Mas,Master+of+Science+samfunns%C3%B8konomi+to%C3%A5rig
Nor,Norsk+spr%C3%A5k+og+samfunnskunnskap+for+utenlandske+studenter
Hje,Hjelpepleierskole
Idr,Idrett+lavere+niv%C3%A5
Vid,Videreutdanning+for+ingeni%C3%B8rer+sikkerhetsteknikk
Kri,Kriminologi+lavere+niv%C3%A5
Sta,Statsvitenskapelige+fag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
R%C3%B8r,R%C3%B8rfag+VK+I
Inf,Informasjons-+og+datateknologi+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Nor,Norsk+(nordisk)+lavere+niv%C3%A5
Des,Design+og+gullsmedh%C3%A5ndverk+Vg2
Gul,Gullsmedfaget+Vg3
Bac,Bachelor+ingeni%C3%B8rfag+elektro+mekaniske+og+maskinfag+tre%C3%A5rig
Byg,Bygg+og+anlegg+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+regnskap+og+revisjon+tre%C3%A5rig
EDB,EDB+to%C3%A5rig+grunnkurs
Inf,Informasjons-+og+datateknologi+andre+uspesifiserte+lavere+niv%C3%A5
Spr,Spr%C3%A5kvitenskap+lavere+niv%C3%A5
Psy,Psykologiske+fag
