UTDANNINGTYPEAHEAD,UTDANNING
Lan,Landbruksfag+og+naturbruk+to%C3%A5rig+grunnkurs
Tek,Teknikk+og+industriell+produksjon+Vg1
Ind,Industriteknologi+Vg2
Tek,Teknisk+fagskole+linje+for+sveiseteknologi
Nat,Naturvitenskapelige+fag+h%C3%A5ndverksfag+og+tekniske+fag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Siv,Sivilmarkedsf%C3%B8rerutdanning+fire%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+akvakultur+og+%C3%B8konomi+to%C3%A5rig
Bac,Bachelor+spr%C3%A5k+og+litteratur+tre%C3%A5rig
Mas,Master+of+Management+to%C3%A5rig
Utd,Utdanning+i+skot%C3%B8yarbeid+videreg%C3%A5ende+grunnutdanning
Kok,Kokkutdanning+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+f%C3%B8rskolel%C3%A6rerutdanning+tre%C3%A5rig
Yrk,Yrkessj%C3%A5f%C3%B8rfaget+Vg3
Mil,Milit%C3%A6re+fag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Bli,Blikkenslagerarbeid+og+annet+tynnplatearbeid+videreg%C3%A5ende+grunnutdanning
Idr,Idrettsadministrasjon+lavere+niv%C3%A5
Des,Design+og+h%C3%A5ndverk+Vg1
Fag,Fagskoleutdanning+veiledning+ett%C3%A5rig
Bil,Bilmekaniker+videreg%C3%A5ende+avsluttende+utdanning
Kj%C3%B8,Kj%C3%B8ret%C3%B8y+Vg2
Tel,Telematikk+IT+diplomstudiet
Bac,Bachelor+engelsk+tre%C3%A5rig
Gar,Gartnere+ett%C3%A5rig+produksjonslinje
Ver,Vernepleierutdanning+tre%C3%A5rig
IKT,IKT-servicefag+Vg2
N%C3%A6r,N%C3%A6ringsmiddelteknisk+utdanning+lavere+niv%C3%A5
Sne,Snekkerfag+VK+I
Ing,Ingeni%C3%B8rutdanning+kjemi+2-%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+forretningsjus+to%C3%A5rig
Bil,Bildende+kunst+og+kunsth%C3%A5ndverk+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Utd,Utdanning+i+elektrofag+mekaniske+fag+og+maskinfag+annen+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Sj%C3%B8,Sj%C3%B8aspirantkurs
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8r+data+tre%C3%A5rig
Sos,Sosial-+helse-+og+milj%C3%B8fag+to%C3%A5rig+grunnkurs
Vid,Videreutdanning+for+helse-+og+sosialsektoren+habilitering+og+rehabilitering
Idr,Idrettsfag+Vg2+grunnkompetanse
But,Butikkfag+VK+I
Sko,Skogbruksfag+to%C3%A5rig+grunnkurs
Bet,Betong-+og+grunnarbeidsfaget+VK+II
L%C3%A6r,L%C3%A6rlingskole
Spe,Spesialutdanning+for+elever+med+s%C3%A6rskilte+behov
Hus,Husmorskoleutdanning
All,Allmennl%C3%A6rerutdanning+fire%C3%A5rig
Tan,Tannlegeassistentutdanning+videreg%C3%A5ende+grunnutdanning
H%C3%B8g,H%C3%B8gskolekandidat+grafisk+design+og+visuell+kommunikasjon+tre%C3%A5rig
Dip,Diplommarkedsf%C3%B8rer+tre%C3%A5rig
Siv,Sivilingeni%C3%B8rutdanning+maskinteknikk
%C3%98ko,%C3%98konomisk-administrative+fag+andre+uspesifiserte+lavere+niv%C3%A5
Rus,Russisk+lavere+niv%C3%A5
Sos,Sosiologiske+fag+lavere+niv%C3%A5
Sos,Sosialantropologiske+fag+lavere+niv%C3%A5
Rei,Reiselivsfag+ett%C3%A5rig+p%C3%A5bygging
Hot,Hotellfagskole
Can,Cand.med.-utdanning
Fly,Flygerutdanning+tre%C3%A5rig
For,Formgivingsfag+harde%2Fplastiske+materialer+VK+I
Apo,Apotekteknikk+Vg3+grunnkompetanse
Can,Cand.philol.-utdanning+sosiologiske+fag
Bac,Bachelor+samfunns%C3%B8konomi+tre%C3%A5rig
Inf,Informatikk+og+multimedia+lavere+niv%C3%A5
Ban,Bankakademiet+bankfaglig+eksamen+(fagkurs)%2F+2.avd.
Agr,Agronomkurs+to%C3%A5rig
Med,Medie-+og+informasjonsfag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Can,Cand.psychol.-utdanning+profesjonsstudiet+i+psykologi+fem%C3%A5rig
IKT,IKT-servicefaget+Vg3
Tys,Tysk+lavere+niv%C3%A5
Mas,Master+lektorutdanning+uspesifisert+fem%C3%A5rig
Bac,Bachelor+informatikk+tre%C3%A5rig
Rei,Reiselivsfag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Hel,Helse-+og+sosialfag+VK+I
Idr,Idrettsfag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Hel,Helseservicefag+Vg2
Tan,Tannhelsesekret%C3%A6r+Vg3
Utd,Utdanning+i+pedagogikk+annen+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Fag,Fagskoleutdanning+milj%C3%B8arbeid+ett%C3%A5rig
Utd,Utdanning+i+murer-+og+jernbinderfaget+og+betong-+og+grunnarbeidsfaget+videreg%C3%A5ende+grunnutdanning
Vok,Voksengymnas+allmenne+og+%C3%B8konomiske+fag+uten+offentlig+st%C3%B8tte
F%C3%B8r,F%C3%B8rtrykk+VK+I
Tek,Teknisk+tegning+VK+I
Mus,Musikk+dans+og+drama+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Mas,Maskinfag+VK+I
Mal,Maler+og+bygningstapetserer+videreg%C3%A5ende+grunnutdanning
Blo,Blomsterdekorat%C3%B8r+Vg2
Bac,Bachelor+medier+og+kommunikasjon+tre%C3%A5rig
Syk,Sykepleiefag+uspesifiserte+lavere+niv%C3%A5
Hel,Helses%C3%B8sterutdanning
All,Allmenn-%2Fgrunnskolel%C3%A6rerutdanninger
L%C3%A6r,L%C3%A6rerutdanninger+og+utdanninger+i+pedagogikk+andre
Ple,Pleie-+og+omsorgsfag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Psy,Psykologiske+fag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Hot,Hotell-+og+reiselivsfag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Mar,Markedskommunikasjon+lavere+niv%C3%A5
Inf,Informasjons-+og+datateknologi+lavere+niv%C3%A5
Bac,Bachelor+statsvitenskap+tre%C3%A5rig
Can,Cand.scient.-utdanning+biologi
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+tre%C3%A5rig+uoppgitt+faggruppe
Can,Cand.polit.-utdanning+pedagogikk
Hel,Helse-+sosial-+og+idrettsfag+uspesifisert+l%C3%A6rerutdanning+videreg%C3%A5ende+grunnutdanning
Lit,Litteraturutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
Mas,Master+litteraturstudier+to%C3%A5rig
Ph.,Ph.d.-program+litteraturvitenskap
Kun,Kunsthistorie+lavere+niv%C3%A5
For,Forkurs+for+yrkes-+og+fagoppl%C3%A6ringen
Tea,Teater-+og+filmutdanning+uspesifisert+lavere+niv%C3%A5
Dan,Danse-+og+ballettutdanning+uspesifisert+lavere+niv%C3%A5
Bac,Bachelor+utviklingsstudier+tre%C3%A5rig
Sam,Samfunns%C3%B8konomi+lavere+niv%C3%A5
Reg,Regnskaps%C3%B8konomi+lavere+niv%C3%A5
S%C3%B8m,S%C3%B8m+to%C3%A5rig+grunnkurs
Tek,Teknisk+fagskole+linje+for+treteknikk
H%C3%B8g,H%C3%B8gskolekandidat+maritim+utdanning+tre%C3%A5rig
Aut,Automatikkmekanikerfaget+VK+II
Tek,Teknisk+fagskole+linje+for+elkraftsteknikk
All,Allmenn-%2Fgrunnskolel%C3%A6rerutdanning+uspesifisert+lavere+niv%C3%A5
Vg2,Vg2+Dans
Dan,Dans+Vg3
Mag,Mag.art.-utdanning+teatervitenskap
Fol,Folkeh%C3%B8gskoleutdanning+halv%C3%A5rig
Bac,Bachelor+ingeni%C3%B8rfag+kjemi+tre%C3%A5rig
Dr.,Dr.philos.-utdanning+fysiske+og+kjemiske+fag
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+sikkerhet+tre%C3%A5rig
Blo,Blomsterdekorat%C3%B8rfaget+Vg3
Hum,Humanistisk+informatikk+lavere+niv%C3%A5
Bac,Bachelor+markedskommunikasjon+tre%C3%A5rig
Vid,Videreutdanning+for+helse-+og+sosialsektoren+alternative+behandlingsmetoder
Vid,Videreg%C3%A5ende+grunnutdanning+uspesifisert+fagfelt
N%C3%A6r,N%C3%A6ringsmiddelproduksjon+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
T%C3%B8m,T%C3%B8mrerfaget+Vg3
N%C3%A6r,N%C3%A6ringsmiddelproduksjon+uspesifisert+videreg%C3%A5ende+grunnutdanning
Rea,Realfag+Vg3
Siv,Sivilingeni%C3%B8rutdanning+karttekniske+fag
Rei,Reiselivsfag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Ing,Ingeni%C3%B8rutdanning+olje+to%C3%A5rig
Fis,Fiske+og+havbruk+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
For,Formgivingsfag+VK+I
Stu,Stuertutdanning+videreg%C3%A5ende+grunnutdanning
Kon,Konfeksjons-+og+tekstilkunstutdanning+uspesifisert+videreg%C3%A5ende+grunnutdanning
Lit,Litteraturutdanning+lavere+niv%C3%A5
Mas,Master+of+Philosophy+Nordic+Viking+and+Medival+Studies
Ska,Skatterevisorutdanning+1.+avd.
Can,Cand.polit.-utdanning+sosialantropologiske+fag
Mar,Markeds%C3%B8konomi+lavere+niv%C3%A5
Anl,Anleggsmaskinf%C3%B8rer+videreg%C3%A5ende+grunnutdanning
Ing,Ingeni%C3%B8rutdanning+data+to%C3%A5rig
Ing,Ingeni%C3%B8rutdanning+elektro+to%C3%A5rig
Anl,Anleggsteknikk+Vg2
Med,Medisin+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Reg,Regnskap+videreg%C3%A5ende+avsluttende+utdanning
Fri,Fris%C3%B8rutdanning+videreg%C3%A5ende+avsluttende+utdanning
%C3%98ko,%C3%98konomiske+og+administrative+fag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
%C3%98ko,%C3%98konomisk-administrativ+utdanning+med+EDB
Bac,Bachelor+helsefag+tre%C3%A5rig
Dri,Drift+av+datasystemer+lavere+niv%C3%A5
Mat,Matematikk+og+statistikk+lavere+niv%C3%A5
Pra,Praktisk-teologisk+kurs+ett%C3%A5rig
Siv,Sivilindustridesigner
Fis,Fiske+og+havbruk+andre+uspesifiserte+lavere+niv%C3%A5
H%C3%B8g,H%C3%B8gskolekandidat+%C3%B8konomi+og+administrasjon+to%C3%A5rig
Siv,Sivilingeni%C3%B8rutdanning+petroleums%C3%B8konomi
Mag,Mag.art.-utdanning+sosialantropologiske+fag
Bac,Bachelor+skogbruksfag+tre%C3%A5rig
Sik,Sikkerhet+andre+uspesifiserte+lavere+niv%C3%A5
Mas,Master+of+Science+industrial+ecology+to%C3%A5rig
Vok,Voksengymnas+allmenne+og+%C3%B8konomiske+fag+med+offentlig+st%C3%B8tte
Mar,Markedsf%C3%B8ring+fagkurs
Mal,Maler+og+byggtapetserer+VK+I
For,Formgivingsfag+to%C3%A5rig+grunnkurs
Hel,Helse-+og+oppvekstfag+Vg1
L%C3%A6r,L%C3%A6rerutdanninger+og+utdanninger+i+pedagogikk+andre
F%C3%B8r,F%C3%B8rskole-%2Fbarnehagel%C3%A6rerutdanninger
Hud,Hudpleie+Vg2
Hud,Hudpleier+Vg3
Ung,Ungdomsskole
Sik,Sikkerhetsfaget+Vg3
Jor,Jordbruk+og+husdyrstell+praksiskurs+(l%C3%A6rlingutdanning)
Sta,Statsvitenskap+lavere+niv%C3%A5
Rea,Realfag+Vg2
Vid,Videreutdanning+for+leger
Bra,Brannvernfag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Tek,Teknisk+fagskole+linje+for+maskinteknikk
Tek,Teknisk+fagskole+brann+og+skadevern+ett%C3%A5rig+videreutdanning
Fag,Fagskoleutdanning+klima+energi+og+milj%C3%B8+(KEM)+to%C3%A5rig
Bac,Bachelor+samfunnsplanlegging+og+kulturforst%C3%A5else+tre%C3%A5rig
Inf,Informasjons-+og+datateknologi+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Anl,Anleggsgartner+videreg%C3%A5ende+grunnutdanning
Tek,Teknisk+fagskole+linje+for+naturbruk+to%C3%A5rig
Tek,Teknisk+tegning+videreg%C3%A5ende+grunnutdanning
Kon,Konfeksjons-+og+tekstilkunstutdanning+uspesifisert+lavere+niv%C3%A5
Anl,Anleggsmaskinf%C3%B8rer+VK+I
Nor,Norsk+for+utenlandske+studenter
Ple,Pleie-+og+omsorgsfag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Fis,Fiskeindustrifag+VK+I
Bac,Bachelor+spr%C3%A5k+og+informasjon+tre%C3%A5rig
Mas,Master+medievitenskap+to%C3%A5rig
Can,Cand.paed.-utdanning+pedagogikk+hovedfag
Bac,Bachelor+vernepleie+tre%C3%A5rig
Vid,Videreutdanning+spesialpedagogikk
Sta,Statsvitenskapelige+fag+andre+uspesifiserte+lavere+niv%C3%A5
Ene,Energimont%C3%B8rfaget+Vg3
Bac,Bachelor+of+Management+tre%C3%A5rig
Ple,Pleie-+og+omsorgsfag+andre+uspesifiserte+lavere+niv%C3%A5
Can,Cand.scient.-utdanning+idrett%2Fkropps%C3%B8ving
Idr,Idrettsfag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Hov,Hovedfagskandidat+idrett%2Fkropps%C3%B8ving
H%C3%B8g,H%C3%B8gskolekandidat+informasjonsteknologi+tre%C3%A5rig
Mat,Matrosfaget+Vg3
Can,Cand.agric.-utdanning+arealplanlegging+og+eiendomsfag
Bac,Bachelor+musikk+tre%C3%A5rig
Mas,Master+ut%C3%B8vende+musikk+to%C3%A5rig
Tek,Tekniske+byggfag+grunnkurs
Pet,Petroleumsteknologi+lavere+niv%C3%A5
Gen,Generelle+programmer+videreg%C3%A5ende+grunnutdanning
Can,Cand.polit.+-utdanning+kulturgeografi
Vid,Videreutdanning+i+sykepleie+psykiatrisk+sykepleie
Ara,Arabisk+lavere+niv%C3%A5
Fag,Fag-+og+yrkesfagl%C3%A6rerutdanning+annen+uspesifisert+h%C3%B8yere+niv%C3%A5
Ing,Ingeni%C3%B8rutdanning+elkraftteknikk+to%C3%A5rig
Sko,Skogbruk+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Mas,Master+%C3%B8konomisk-administrative+fag+to%C3%A5rig+(ikke+godkjent+h%C3%B8gskoleutdanning)
Kok,Kokkfaget+Vg3
Vid,Videreutdanning+for+ingeni%C3%B8rer+uoppgitt+faggruppe
H%C3%B8g,H%C3%B8gskolekandidat+organisasjon+og+administrasjon+to%C3%A5rig
Men,Mensendieckutdanning+tre%C3%A5rig
Pri,Privatrett+lavere+niv%C3%A5
Fys,Fysiske+fag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Bil,Billakkerer+VK+I
Can,Cand.scient.-utdanning+kjemi
Vid,Videreutdanning+for+hjelpepleiere
Vid,Videreutdanning+for+sosialsektoren+barnevern
Hus,Husstell+to%C3%A5rig+grunnkurs
Bib,Bibel-+misjon%C3%A6r-+og+menighetsarbeid+uspesifisert+lavere+niv%C3%A5
Vid,Videreutdanning+matematikk
Bac,Bachelor+ingeni%C3%B8rfag+data+tre%C3%A5rig
Spe,Spesialpedagogikk+lavere+niv%C3%A5
Vid,Videreutdanning+i+pedagogisk+arbeid+p%C3%A5+sm%C3%A5skoletrinnet+I+og+II+uspesifisert
Tek,Teknisk+fagskole+linje+for+driftsteknikk
Tek,Teknisk+fagskole+linje+for+VVS-teknikk
Kos,Kosmetolog+videreg%C3%A5ende+grunnutdanning
Hov,Hovedfagskandidat+engelsk
Hot,Hotell-+og+n%C3%A6ringsmiddelfag+VK+II
Fag,Fagskoleutdanning+lydproduksjon+ett%C3%A5rig
Tra,Transportfag+VK+I
Fag,Fag-+og+yrkesfagl%C3%A6rerutdanning+annen+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Pol,Politiskolen
Sko,Skogbruk+Vg2
Byg,Byggteknisk+analyse+og+eiendoms%C3%B8konomi+lavere+niv%C3%A5
Rea,Realfag+lavere+niv%C3%A5
Bac,Bachelor+IT+-+spr%C3%A5k+logikk+og+psykologi+tre%C3%A5rig
Ser,Serviceelektronikerfaget+radiokommunikasjonssystemer+VK+II
Siv,Sivilingeni%C3%B8rutdanning+fysikk+og+matematikk
Sos,Sosialfag+lavere+niv%C3%A5
Ind,Industriell+n%C3%A6ringsmiddelproduksjon+VK+I
Can,Cand.paed.-utdanning+profesjonsstudiet+i+pedagogikk
Sam,Samferdsel+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Bil,Bilfaget+lette+kj%C3%B8ret%C3%B8y+Vg3
Sko,Skogskole+to%C3%A5rig
Bac,Bachelor+ern%C3%A6ring+tre%C3%A5rig
For,Forberedende+pr%C3%B8ver+spr%C3%A5kvitenskapelige+fag
Fis,Fiskeriteknisk+h%C3%B8gskole+fiskeriindustri+og+havbruk
San,Sang-+og+musikkutdanning+uspesifisert+videreg%C3%A5ende+grunnutdanning
Hel,Helsesekret%C3%A6r+Vg3
Mas,Master+arkeologi+kunsthistorie+og+konservering+to%C3%A5rig
Fag,Fagskoleutdanning+media+og+kommunikasjon
Ped,Pedagogikk+uspesifisert+lavere+niv%C3%A5
Vis,Visuell+kunst+lavere+niv%C3%A5
Ser,Serviceelektronikerfaget+maritime+elektroniske+systemer+VK+II
%C3%98ko,%C3%98konomi+og+administrasjon+l%C3%A6rerutdanning+uspesifisert+lavere+niv%C3%A5
Mas,Master+arkeologi+to%C3%A5rig
Byg,Bygg-+og+anleggsfag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Gar,Gartneri+og+hagebruk+uspesifisert+videreg%C3%A5ende+grunnutdanning
Res,Reservedelsfaget+Vg3
Med,Medisin+lavere+niv%C3%A5
Bac,Bachelor+utmarksforvaltning+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+informatikk+to%C3%A5rig
Spr,Spr%C3%A5kutdanninger
Vid,Videreutdanning+for+teologer
But,Butikklederutdanning+videreg%C3%A5ende+grunnutdanning
Mas,Maskinistaspirantutdanning
Tek,Teknisk+fagskole+maritime+fag+med+fordypning+i+nautiske+fag%2Ffiskerifag
Fil,Filosofi+og+etikk+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Ind,Industritekstilfaget+veving+VK+I+og+VK+II+s%C3%A6rl%C3%B8p
Fra,Fransk+lavere+niv%C3%A5
Vid,Videreutdanning+for+helse-+og+sosialsektoren+arbeidsmilj%C3%B8rettet+helsevern
H%C3%B8g,H%C3%B8gskolekandidat+kulturfag+to%C3%A5rig
Fag,Fag-+og+yrkesfagl%C3%A6rerutdanning+annen+uspesifisert+lavere+niv%C3%A5
Bio,Biologiske+fag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Tre,Treb%C3%A5tbyggerfaget+Vg3
Dyr,Dyrepleie+uspesifisert+lavere+niv%C3%A5
Hes,Hestefaget+Vg3
Led,Lederskolen
Tek,Teknisk+fagskole+linje+for+petroleumsteknologi+to%C3%A5rig
Inf,Informasjonsvitenskap+lavere+niv%C3%A5
Bac,Bachelor+ingeni%C3%B8rfag+energi+og+milj%C3%B8+tre%C3%A5rig
Bil,Bilfaget+tunge+kj%C3%B8ret%C3%B8y+Vg3
Fri,Friluftsliv+kultur-+og+naturrettledning+lavere+niv%C3%A5
Fys,Fysiske+fag+lavere+niv%C3%A5
Geo,Geofag+andre+uspesifiserte+lavere+niv%C3%A5
Kok,Kokker+to%C3%A5rig+grunnkurs
Ter,Terminalarbeiderfaget+VK+II
Fot,Fotterapi+Vg3
Mas,Master+teknologi+energi+og+milj%C3%B8+fem%C3%A5rig
Bib,Bibliotekarutdanning
Vid,Videreutdanning+%C3%B8konomisk-administrative+fag
Can,Cand.ed.-utdanning+pedagogikk+profesjonsstudiets+1.+og+2.+avd.
Rel,Religionshistorie+lavere+niv%C3%A5
Ph.,Ph.d.-program+utdanningsvitenskapelige+fag
Kar,Kart+og+oppm%C3%A5ling+VK+I
Kj%C3%B8,Kj%C3%B8ttfag+VK+I
Opp,Oppm%C3%A5lings-+og+jordskifteutdanning+videreg%C3%A5ende+avsluttende+utdanning
Sak,Saksbehandling+for+n%C3%A6ringsliv+og+forvaltning+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Med,Media+og+kommunikasjon+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
For,Forsikringseksamen+lavere+niv%C3%A5
Bac,Bachelor+media+IKT+og+design+tre%C3%A5rig
Mat,Matematikk+uspesifisert+h%C3%B8yere+niv%C3%A5
Tea,Teater-+og+filmutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
Reg,Regnskap+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Bac,Bachelor+ingeni%C3%B8rfag+maskin+tre%C3%A5rig
Ter,Terapeutiske+fag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Hel,Helse-+og+sosialfag+VK+II
Siv,Sivilingeni%C3%B8rutdanning+industriell+matematikk
Kjo,Kjole-+og+draktsyerfaget+Vg3
Des,Design+og+tekstil+Vg2
Bac,Bachelor+kl%C3%A6r+og+kostymer+tre%C3%A5rig
Hel,Helse-+sosial-+og+idrettsfag+uspesifisert+l%C3%A6rerutdanning+videreg%C3%A5ende+avsluttende+utdanning
Lan,Landbruksmaskinmekanikerfaget+Vg3
Arb,Arbeidsmaskiner+Vg2
Mar,Maritime+navigasjonsfag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Br%C3%B8,Br%C3%B8nnteknikk+Vg2
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+optikk+tre%C3%A5rig
Spr,Spr%C3%A5kfag+Vg2
Han,Handel+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
%C3%98ko,%C3%98konomiske+og+administrative+fag+andre+forskerutdanning
Vid,Videreutdanning+for+helse-+og+sosialsektoren+psykisk+helsearbeid
Bet,Betongfaget+Vg3
Byg,Bygg-+og+anleggsfag+andre+uspesifiserte+lavere+niv%C3%A5
Smi,Smink%C3%B8rutdanning+for+film+og+teater+(make-up+artist)
Bac,Bachelor+hus%C3%B8konomi+tre%C3%A5rig
Tek,Teknisk+fagskole+linje+for+n%C3%A6ringsmiddelteknikk+to%C3%A5rig
Pra,Praktisk-pedagogisk+utdanning+for+universitets-+og+h%C3%B8gskolekandidater
Can,Cand.mag.-utdanning+samfunnsfag+og+juridiske+fag
Ph.,Ph.d.-program+medievitenskap
Vid,Videreutdanning+i+sykepleie+uspesifisert
Vid,Videreutdanning+for+helse-+og+sosialsektoren+veiledning+og+konsultasjon
Uts,Utstillingsdesign+Vg3
Mas,Master+of+Science+informatikk+to%C3%A5rig
Bil,Bildende+kunst+og+kunsth%C3%A5ndverk+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Mas,Master+norsk%2Fnordisk+fem%C3%A5rig
Mus,Musikk+lavere+niv%C3%A5
Mar,Marin-+og+ferskvannsbiologi+uspesifisert+lavere+niv%C3%A5
Bio,Biologi+og+kjemi+lavere+niv%C3%A5
Hel,Helse-+sosial-+og+idrettsfag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Can,Cand.agric.-utdanning+naturvitenskapelige+fag
Can,Cand.oecon.-utdanning+samfunns%C3%B8konomi
H%C3%B8g,H%C3%B8gskolekandidat+offentlig+styring+og+%C3%B8konomi+to%C3%A5rig
Erg,Ergoterapeututdanning+tre%C3%A5rig
Bac,Bachelor+ergoterapi+tre%C3%A5rig
Ple,Pleie-+og+omsorgsfag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Bac,Bachelor+fysioterapi+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+kjemi+tre%C3%A5rig
Tek,Teknisk+fagskole+linje+for+databehandling+%C3%B8konomi+og+administrasjon
Mot,Motormekanikerfaget+Vg3
H%C3%B8g,H%C3%B8gskolekandidat+fiskeri-+og+n%C3%A6ringsmiddelteknologi+tre%C3%A5rig
Vid,Videreutdanning+i+diakoni+og+sykepleie+palliativ+omsorg+(omsorg+for+uhelbredelig+syke+og+d%C3%B8ende)
Utd,Utdanning+i+germanske+og+romanske+spr%C3%A5k+uspesifisert+lavere+niv%C3%A5
Psy,Psykologiske+fag+andre+uspesifiserte+lavere+niv%C3%A5
Mag,Mag.art.-utdanning+administrasjons-+og+organisasjonsvitenskap
Tek,Teknisk+fagskole+linje+for+maritime+fag+med+fordypning+i+maskinfag
Ele,Elektro+uspesifisert+lavere+niv%C3%A5
H%C3%B8g,H%C3%B8gskolekandidat+hagebruk+og+%C3%B8konomi+to%C3%A5rig
Tan,Tannteknikerfaget+VK+I
All,Allmennmedisin+spesialistutdanning+for+leger
Tek,Teknisk+tegning+videreg%C3%A5ende+avsluttende+utdanning
P%C3%B8l,P%C3%B8lsemakerfaget+Vg3
Sek,Sekret%C3%A6rutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Bio,Biologiske+fag
Kj%C3%B8,Kj%C3%B8leteknisk+utdanning+videreg%C3%A5ende+grunnutdanning
Mas,Master+administrasjon+og+ledelse+to%C3%A5rig
Ver,Vernepleiefag+uspesifiserte+lavere+niv%C3%A5
Bac,Bachelor+tegnspr%C3%A5k+og+tolking+tre%C3%A5rig
Mur,Murer+VK+I
All,Allmenne+fag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+eksportmarkedsf%C3%B8ring+tre%C3%A5rig
Bac,Bachelor+ingeni%C3%B8rfag+petroleumsteknologi+tre%C3%A5rig
Sos,Sosiologiske+fag
Siv,Sivilingeni%C3%B8rutdanning+kjemi
S%C3%B8m,S%C3%B8m+VK+I
Bil,Bilskade+lakk+og+karosseri+Vg2
Hum,Humaniora+og+estetikk+l%C3%A6rerutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Fin,Finsk+lavere+niv%C3%A5
%C3%98ko,%C3%98konomi+og+administrasjon+l%C3%A6rerutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+milit%C3%A6re+fag+tre%C3%A5rig
Fag,Fagskoleutdanning+bygg+to%C3%A5rig
Mus,Musikk+Vg2
Mus,Musikk+Vg3
Kys,Kystskipperkurs+av+2.+klasse
Dr.,Dr.med.-utdanning
Can,Cand.polit.-utdanning+informasjonsvitenskap
Dip,Diplomstudium+ved+Norsk+hotellh%C3%B8gskole+fire%C3%A5rig
Dat,Dataelektronikerfaget+Vg4
Bac,Bachelor+kultur-+og+samfunnsfag+tre%C3%A5rig
Vid,Videreutdanning+for+f%C3%B8rskole-%2Fbarnehagel%C3%A6rere+uspesifisert
Led,Ledelse+%C3%B8konomistyring+og+planlegging+videreutdanning
Mas,Master+of+Philosophy+Human+Development+to%C3%A5rig
Vid,Videreutdanning+for+sosialsektoren+familieterapi
Bac,Bachelor+digitale+medier+tre%C3%A5rig
Sam,Samfunnsfag+og+juridiske+fag+l%C3%A6rerutdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Hum,Humaniora+og+estetikk+l%C3%A6rerutdanning+uspesifisert+videreg%C3%A5ende+grunnutdanning
