KOMPETANSETYPEAHEAD,KOMPETANSE
Ind,Industriell+skot%C3%B8yproduksjon+(AMO)
Ind,Industriinnbinding
Ind,Industriproduksjon
Ind,Industrisnekring
Ind,Industris%C3%B8m
Ind,Industritekstilfaget+fiskeredskap+(AMO)
Ind,Industritekstilfaget+garnframstilling+og+spinning+(AMO)
Ind,Industritekstilfaget+trikotasje++(AMO)
Ind,Industritekstilfaget+veving+(AMO)
Inf,Informasjon+og+kommunikasjon+(bransje)
Inf,Informasjonsarbeid
Ink,Inkassoarbeid
Inn,Innkj%C3%B8p%2Flogistikk
Inn,Innredning+-+bolig
Inn,Innredning+-+forretning
Inn,Innredning+-+kontor
Inn,Innredning+-+restaurant
Inn,Innredning+-+skip
Inn,Innredning+-sykehus
Ins,Instrukt%C3%B8rarbeid
Ins,Instrukt%C3%B8rarbeid+-+aerobic
Ins,Instrukt%C3%B8rarbeid+-+alpin
Ins,Instrukt%C3%B8rarbeid+-+babysv%C3%B8mming
Ins,Instrukt%C3%B8rarbeid+-+dykking
Ins,Instrukt%C3%B8rarbeid+-+generelt
Ins,Instrukt%C3%B8rarbeid+-+golf
Ins,Instrukt%C3%B8rarbeid+-+hopp
Ins,Instrukt%C3%B8rarbeid+-+ridning
Ins,Instrukt%C3%B8rarbeid+-+ski
Ins,Instrukt%C3%B8rarbeid+-+sk%C3%B8yter
Ins,Instrukt%C3%B8rarbeid+-+sv%C3%B8mming
Ins,Instrukt%C3%B8rarbeid+-+tennis
Int,Interesseorganisasjoner+(bransje)
Int,Internett+og+e-post
Irs,Irsk
Isl,Islandsk
Iso,Isolat%C3%B8rfaget+(AMO)
Iso,Isolering
Iso,Isoleringsarbeid
Ita,Italiensk
Jap,Japansk
Jav,Javanesisk
Jaz,Jazz
Jaz,Jazzballett
Jer,Jernbinding
Jer,Jernvarer
Jid,Jiddisch
Job,Jobbklubb
Job,Jobbklubb
Job,Jobbklubb+med+bonusordning
Jor,Jordbruk
Jor,Jordbruk+skogbruk+og+fiske+(bransje)
Jor,Jordb%C3%86rplukking
Jor,Jordingssystemer
Jou,Journalistikk
Jou,Journalistikk+-+generelt
Jou,Journalskriving
Jur,Juridisk+arbeid
Jus,Jus
KON,KONVERTERT
KON,KONVERTERT
KON,KONVERTERT+ANNEN
Med,Medier+og+kommunikasjon+andre+(AMO)
Med,Medisinsk+arbeid
Med,Medisinsk+arbeid+-+generelt
Med,Medisinske+elektroniske+systemer
Mei,Meieriarbeid
